# Anio,Goles_campeon,Goles_finalista,Asistencia
2025,5,0,64300
2024,2,0,86200
2023,1,0,71400
2022,1,0,75000
2021,1,0,14110
2020,1,0,0
2019,2,0,63272
2018,3,1,61561
2017,4,0,66000
2016,1,1,72000
2015,3,1,70000
2014,4,1,60976
2013,2,1,86298
2012,1,1,69901
2011,3,1,86019
2010,2,0,75000
2009,2,0,67000
2008,1,1,67310
2007,2,1,74000
2006,2,1,79610
2005,3,3,65000
2004,3,0,52000
2003,0,0,63000
2002,2,1,66268
2001,1,1,71500
2000,3,0,71500
1999,2,1,90000
1998,1,0,56000
1997,3,1,59000
1996,1,1,70000
1995,1,0,49730
1994,4,0,70000
1993,2,0,57000
1992,1,0,70827
1991,0,0,56000
1990,1,0,56000
1989,4,0,97000
1988,0,0,70000
1987,2,1,66268
1986,0,0,70000
1985,1,0,66268
1984,1,1,69693
1983,1,0,79000
1982,1,0,46000
1981,1,0,48360
1980,1,0,50000
1979,1,0,57500
1978,1,0,92500
1977,3,1,66268
1976,1,0,54864
1975,2,0,50000
1974,4,0,65000
1973,1,0,93500
1972,2,0,67000
1971,2,0,90000
1970,2,1,66268
1969,4,1,50000
1968,4,1,100000
1967,2,1,56000
1966,2,0,55000
1965,1,0,80000
1964,3,1,74000
1963,2,1,45000
1962,2,3,65000
1961,3,2,28000
1960,7,3,135000
1959,2,0,80000
1958,3,2,67000
1957,2,0,66268
1956,4,3,38239
